Common.Names	Standardized.Names	COMMON.NAMES	STANDARDIZED.NAMES
MABI131	MAB I-131	MABI131	MAB I-131
Methotrexate	Methotrexate	METHOTREXATE	METHOTREXATE
METHOTREXATE	Methotrexate	METHOTREXATE	METHOTREXATE
methotrexate	Methotrexate	METHOTREXATE	METHOTREXATE
methotrexate+5 fluorouracil+cyclophosphamide	Methotrexate	METHOTREXATE+5 FLUOROURACIL+CYCLOPHOSPHAMIDE	METHOTREXATE
Mithramycin	Mitomycin C	MITHRAMYCIN	MITOMYCIN C
Mitomycin	Mitomycin C	MITOMYCIN	MITOMYCIN C
Mitomycin C	Mitomycin C	MITOMYCIN C	MITOMYCIN C
Metexafin Gadolinium	Motexafin Gadolinium	METEXAFIN GADOLINIUM	MOTEXAFIN GADOLINIUM
Motexafin Gadolinium	Motexafin Gadolinium	MOTEXAFIN GADOLINIUM	MOTEXAFIN GADOLINIUM
Motexatin Gadoinium	Motexafin Gadolinium	MOTEXATIN GADOINIUM	MOTEXAFIN GADOLINIUM
"""Chemo, Multi-Agent, NOS"""	NA	"""CHEMO, MULTI-AGENT, NOS"""	NA
"""Chemo, NOS"""	NA	"""CHEMO, NOS"""	NA
[Not Available]	NA	[NOT AVAILABLE]	NA
[Unknown]	NA	[UNKNOWN]	NA
CDR0000654697	NA	CDR0000654697	NA
"Chemo, NOS"	NA	"CHEMO, NOS"	NA
Clinical trial	NA	CLINICAL TRIAL	NA
Nilutamide	Nilutamide	NILUTAMIDE	NILUTAMIDE
Nimustine	Nimustine Hydrochloride	NIMUSTINE	NIMUSTINE HYDROCHLORIDE
MDX-1106 clinical trial	nivolumab	MDX-1106 CLINICAL TRIAL	NIVOLUMAB
Not otherwise specified	NOS	NOT OTHERWISE SPECIFIED	NOS
06-BG	O6-BG	06-BG	O6-BG
06-BG (NABTT 0803)	O6-BG	06-BG (NABTT 0803)	O6-BG
06BG	O6-BG	06BG	O6-BG
06GB	O6-BG	06GB	O6-BG
O6B6	O6-BG	O6B6	O6-BG
O6BG	O6-BG	O6BG	O6-BG
Eloxatin	Oxaliplatin	ELOXATIN	OXALIPLATIN
Oxaliplatin	Oxaliplatin	OXALIPLATIN	OXALIPLATIN
oxaliplatin	Oxaliplatin	OXALIPLATIN	OXALIPLATIN
OXALIPLATIN	Oxaliplatin	OXALIPLATIN	OXALIPLATIN
oxaliplatinum+ 5-FU	Oxaliplatin/Flourouracil	Flourouracil	OXALIPLATIN/FLOUROURACIL
Abraxane	Paclitaxel		
abraxane	Paclitaxel		
Paclitaxel	Paclitaxel		
PACLITAXEL	Paclitaxel		
paclitaxel	Paclitaxel		
Paclitaxel (Protein-Bound)	Paclitaxel		
paclitaxelum	Paclitaxel		
Palixtaxel	Paclitaxel		
Taxane	Paclitaxel		
Taxol	Paclitaxel		
taxol	Paclitaxel		
TAXOL	Paclitaxel		
taxol+adriamycin+cyclophosphamide+herceptin	Paclitaxel/Adriamycin/Cyclophosphamide/Herceptin		
Taxotere/Cytoxan	Paclitaxel/Cytoxan		
Aloxi	palonosetron_		
Pamidronate	Pamidronate		
Pamidronic acid	Pamidronic acid		
Panitumumab	Panitumumab		
panitumumab	Panitumumab		
VECTIBIX	Panitumumab		
vectibix	Panitumumab		
Angiocept	Pegdinetanib		
Neulasta	Pegfilgrastim		
NEULASTA	Pegfilgrastim		
Placebo	Placebo		
Poly E	Poly E		
Poly LCLC	Poly LCLC		
Prednisone	Prednisone		
Premetrexed	Premetrexed		
premetrexed	Premetrexed		
Procarbazine	Procarbazine		
procarbazine	Procarbazine		
PROCARBAZINE	Procarbazine		
Procarbazine/CCNU/Vincristine	Procarbazine/Lomustine/Vincristine/		
Procarbizine	Procarbazine		
PS 341	PS-341		
PS-341 Bortrezomib	PS-341		
PS341	PS-341		
px-866	Px-866		
Pyrazinamide	Pyrazinamide		
R04929097	R04929097		
Raltitrexed	Raltitrexed		
Rapamcyin	Rapamycin		
Rapamycin	Rapamycin		
Sirolimus	rapamycin		
Ras Inhibitor	Ras Inhibitor		
rec MAGE 3-AS + AS15 ACS1 / Placebo Vaccine	rec MAGE 3-AS + AS15 ACS1 / Placebo Vaccine		
rec MAGE3-AS+AS15 ASCI vs Placebo	rec MAGE3-AS+AS15 ASCI vs Placebo		
Recentin Placebo AXDX2171	Recentin Placebo AXDX2171		
recMAGE3-AS+AS15 ASCI/Placebo vaccine	recMAGE3-AS+AS15 ASCI/Placebo vaccine		
recPRAME+AS15	recPRAME+AS15		
recPRAME+AS15 ASCI	recPRAME+AS15 ASCI		
regorafenib	Regorafenib		
ARIAD AP23573	Ridaforolimus		
rigosertib	Rigosertib		
Rituximab	Rituximab		
SCH63666	SCH6636		
SCH66336	SCH6636		
SCH6636	SCH6636		
Sorafenib	Sorafenib		
Sorafenib (Bay 43-9006)	Sorafenib		
Sovatenib	Sorafenib		
Streptozocin	Streptozocin		
Suramin	Suramin		
nolvadex	Tamoxifen		
Nolvadex	Tamoxifen		
Tamoxifen	Tamoxifen		
tamoxifen	Tamoxifen		
TAMOXIFEN	Tamoxifen		
TAMOXIFEN (NOVADEX)	Tamoxifen		
tamoxifen citrate	Tamoxifen		
tamoxiphen+anastrazolum	Tamoxifen		
tamoxiphene	Tamoxifen		
tamoxiphene+anastrozolum	Tamoxifen		
tamoxiphene+leuporeline+gosereline	Tamoxifen		
Tamoxiten	Tamoxifen		
tc	Taxol/Taxotere/Cytoxan		
TC	Taxol/Taxotere/Cytoxan		
TCH	Taxol/Taxotere/Carboplatin/Hercptin		
Temador	Temozolomide		
Temazolomide	Temozolomide		
Temodar	Temozolomide		
temodar	Temozolomide		
Temodar (escalation)	Temozolomide		
Temodor	Temozolomide		
Temoxolomide	Temozolomide		
Temozlomide	Temozolomide		
Temozolamide	Temozolomide		
Temozolomide	Temozolomide		
temozolomide	Temozolomide		
TEMOZOLOMIDE	Temozolomide		
Temozolomode	Temozolomide		
Temozolomoide	Temozolomide		
Temozomide	Temozolomide		
Temudar	Temozolomide		
Themozolomide	Temozolomide		
Tesetaxel	Tesetaxel		
Thalidomide	Thalidomide		
Thalomid	Thalidomide		
Tipfarnib (R115777)	Tipfarnib (R115777)		
Tipifarnib (R115777)	Tipfarnib (R115777)		
TL32711	TL32711		
Topecan	Topotecan		
Topotecan	Topotecan		
topotecan	Topotecan		
Toptecan	Topotecan		
Fareston	Toremifene		
Yondelis	Trabectedin		
Herceptin	Trastuzumab		
herceptin	Trastuzumab		
HERCEPTIN	Trastuzumab		
Trastuzumab	Trastuzumab		
TRASTUZUMAB	Trastuzumab		
trastuzumab	Trastuzumab		
Trustuzumab	Trastuzumab		
Trelstar	Triptorelin pamoate		
Triptorelin	Triptorelin pamoate		
triptorelin	Triptorelin pamoate		
Tumor Vaccine	Tumor Vaccine		
Valproic Acid	Valproic Acid		
Valproic acid	Valproic Acid		
Vandetanib	Vandetanib		
Vatalanib (PTK787)	Vandetanib		
Vepesid	VePesid		
Vinblastine	Vinblastine		
CCNU	Vincristine		
CCNu	Vincristine		
CeeNU	Vincristine		
Vincristin	Vincristine		
Vincristine	Vincristine		
VINCRISTINE	Vincristine		
vincristine	Vincristine		
NAVELBINE	Vinorelbine		
Navelbine	Vinorelbine		
navelbine	Vinorelbine		
Vinorelbin	Vinorelbine		
Vinorelbin Tartrate	Vinorelbine		
Vinorelbine	Vinorelbine		
Vinorelbine Tartrate	Vinorelbine		
SAHA	Vorinostat		
Vorinostat	Vorinostat		
VP 16	VP-16		
Vp 16	VP-16		
VP 16 (Etoposide)	VP-16		
VP-16	VP-16		
VP16	VP-16		
Capecetabine	Xeloda		
CAPECITABINE	Xeloda		
Capecitabine	Xeloda		
capecitabine	Xeloda		
XELODA	Xeloda		
Xeloda	Xeloda		
xeloda	Xeloda		
Xeloda (Capecitabine)	Xeloda		
Xgeva	Xgeva		
XL 184	XL-184		
XL184	XL-184		
Aflibercept/ Placebo Study	Ziv-aflibercept		
Zoledronic Acid	Zometa		
Zoledronic acid	Zometa		
ZOLEDRONIC ACID	Zometa		
zoledronic acid	Zometa		
Zometa	Zometa		
"Calcium Foliatum, fluorouracilum, oxaliplatinum, dexamethassone"	Calcium Foliatum/Flourouracil/Oxaliplatin/Dexamethasone		
CCNG	CCNG		
CDDP	Cisplatin		
CYC-116/Cyclocel	Cyclacel		
degarelix	Degarelix 		
Denosumab	Denosumab		
Imatinib	Gleevec		
IMC-A12	Cixutumumab		
Interferon Alpha	Interferon Alfa		
Ixabepilone	Ixabepilone		
jevtana	cabazitaxel		
Karerltecin	Karenitecin		
Ketoconazole	Ketoconazole		
LHRH Agonist	LHRH Agonist		
"LHRH Agonist and Anti-Androgens ""Combined Androgen Blockade"""	"LHRH Agonist and Anti-Androgens ""Combined Androgen Blockade"""		
LY317615	Enzastaurin		
MAGI131-81c6	MAGI13/81c6		
Marimastat	Marimastat		
MEDT 575	MEDT 575		
Megace	Megestrol		
MESNA-1	Cyclophospharmide/Ifosfamide		
MESNA-2	Cyclophospharmide/Ifosfamide		
Metformin	Metformin		
Metronomic Temodar	Metformin/Temozolomide		
MGI 114	irofulven		
Mitoxantrone	Mitoxantrone		
Mustophoran	Mustophoran		
Oxcarbazepine	Oxcarbazepine		
PC2	Paclitaxel/Carboplatin		
PCB	Procarbazine		
PCV	Procarbazine/Lomustine/Vincristine		
Pegfilgrastim	Pegfilgrastim		
Pegfilgrastim (Peg G-CSF)	Pegfilgrastim		
Pemetsexed	Pemetsexed		
PEP3 KLH	PEP3-KLH		
Phenytoin Sodium	Phenytoin Sodium		
